"Order","Class","File","Title","Description","Type","Rarity","Scope","Source"
"49","GiantSkeletonWrath","giant_skeleton_wrath.png","巨骸震怒","造成{Damage:diff()}点伤害。
如果[gold]塞巴斯蒂安[/gold]在场，则其对所有敌人造成4点伤害3次。","Attack","Rare","Pool","RevenantTextTableCards.cs"
"50","SkyRendingChord","sky_rending_chord.png","破空弦音","造成{Damage:diff()}点伤害。
从[gold]抽牌堆[/gold]中选择{Cards:diff()}张牌丢弃。","Attack","Common","Pool","RevenantTextTableCards.cs"
"51","SubstituteDoll","substitute_doll.png","替身人偶","获得{Block:diff()}点[gold]格挡[/gold]。
从[gold]抽牌堆[/gold]中选择1张牌丢弃。","Skill","Common","Pool","RevenantTextTableCards.cs"
"52","SpiritGathering","spirit_gathering.png","聚灵术","获得{Energy:diff()}点能量。
[gold]回收[/gold]{Cards}张牌。","Skill","Rare","Pool","RevenantTextTableCards.cs"
"53","Concerto","concerto.png","协奏曲","[gold]共鸣[/gold]。
[gold]呼唤[/gold]。
[gold]共鸣[/gold]。","Skill","Ancient","Pool","RevenantTextTableCards.cs"
"54","FightForMe","fight_for_me.png","为我而战","失去{DexterityLoss:diff()}点[gold]敏捷[/gold]。
回合开始时，[gold]呼唤[/gold]。","Power","Ancient","Pool","RevenantTextTableCards.cs"
"55","SoulCursingBell","soul_cursing_bell.png","召咒魂铃","造成{Damage:diff()}点伤害。
每当你[gold]回收[/gold]时，同时[gold]回收[/gold]此牌。","Attack","Uncommon","Pool","RevenantTextTableCards.cs"
"56","LightSpirit","light_spirit.png","轻灵","每回合首次[gold]回收[/gold]卡牌时，获得1点能量。","Power","Uncommon","Pool","RevenantTextTableCards.cs"
"57","Grooming","grooming.png","梳妆","从[gold]抽牌堆[/gold]中选择1张牌丢弃。
抽{Cards:diff()}张牌。","Skill","Uncommon","Pool","RevenantTextTableCards.cs"
"58","ReanimateDead","reanimate_dead.png","死者苏生","[gold]呼唤[/gold]。
将1个在本场战斗中已死亡的敌人复活为[gold]死灵[/gold]。","Skill","Uncommon","Pool","RevenantTextTableCards.cs"
"59","SoulReturn","soul_return.png","回魂","给予{Freeze:diff()}层[gold]冻伤[/gold]。
[gold]回收[/gold]{Cards:diff()}张牌。","Skill","Common","Pool","RevenantTextTableCards.cs"
"60","HeavyEcho","heavy_echo.png","重音回响","打出[gold]蓄力完成[/gold]的卡牌后，[gold]呼唤[/gold]。","Power","Rare","Pool","RevenantTextTableCards.cs"
"61","ChantingBlessing","chanting_blessing.png","咏唱庇佑","进行[gold]蓄力[/gold]后，获得{Block:diff()}点[gold]格挡[/gold]。","Power","Uncommon","Pool","RevenantTextTableCards.cs"
"62","UnderworldReflection","underworld_reflection.png","黄泉倒影","复活1个随机[gold]死灵[/gold]。","Skill","Rare","Pool","RevenantTextTableCards.cs"
"63","SpiritManipulation","spirit_manipulation.png","操灵术","造成{Damage:diff()}点伤害。
斩杀时，该敌人会在下次战斗开始时被你复活为[gold]死灵[/gold]。","Attack","Rare","Pool","RevenantTextTableCards.cs"
"64","PreparationRitual","preparation_ritual.png","准备仪式","[gold]回收[/gold]1张牌，并使其立即[gold]蓄力完成[/gold]。","Skill","Uncommon","Pool","RevenantTextTableCards.cs"
"65","WatchfulWaiting","watchful_waiting.png","守候","{ChargeStateText}","Skill","Common","Pool","RevenantTextTableCards.cs"
"66","AllSoulsReturn","all_souls_return.png","万魂归","[gold]回收[/gold]任意张牌。","Skill","Rare","Pool","RevenantTextTableCards.cs"
"67","FollowingShadow","following_shadow.png","如影随形","回合中首次[gold]呼唤[/gold][gold]海伦[/gold]时，抽1张牌，获得1点能量。","Power","Rare","Pool","RevenantTextTableCards.cs"
"68","CloseGuard","close_guard.png","贴身侍卫","获得{Block:diff()}点[gold]格挡[/gold]。
[gold]海伦[/gold]在场时，抽{Cards:diff()}张牌。","Skill","Common","Pool","RevenantFamilySynergyCards.cs"
"69","BodyguardBone","bodyguard_bone.png","护身骨","获得{Block:diff()}点[gold]格挡[/gold]。
[gold]塞巴斯蒂安[/gold]在场时，额外获得{BonusBlock:diff()}点[gold]格挡[/gold]。","Skill","Common","Pool","RevenantFamilySynergyCards.cs"
"70","TravelingSatchel","traveling_satchel.png","随身行囊","抽{Cards:diff()}张牌。
[gold]海伦[/gold]在场时，这张牌的[gold]耗能[/gold]-1。","Skill","Uncommon","Pool","RevenantFamilySynergyCards.cs"
"71","WrathfulNote","wrathful_note.png","怒音","对所有敌人造成{Damage:diff()}点伤害。
[gold]塞巴斯蒂安[/gold]在场时，额外给予所有敌人{Weak:diff()}层[gold]虚弱[/gold]。","Attack","Uncommon","Pool","RevenantFamilySynergyCards.cs"
"72","JointStrike","joint_strike.png","合击","造成{Damage:diff()}点伤害。
[gold]弗雷德利克[/gold]在场时，[gold]共鸣[/gold]。","Attack","Common","Pool","RevenantFamilySynergyCards.cs"
"73","BruteForcePath","brute_force_path.png","蛮力开路","造成{Damage:diff()}点伤害。
[gold]弗雷德利克[/gold]在场时，额外给予{Vulnerable:diff()}层[gold]易伤[/gold]。","Attack","Uncommon","Pool","RevenantFamilySynergyCards.cs"
"74","MutualUnderstanding","mutual_understanding.png","默契","切换[gold]家人[/gold]后，使[gold]家人[/gold]获得{Strength:diff()}点[gold]力量[/gold]。","Power","Uncommon","Pool","RevenantFamilySwitchCards.cs"
"75","ChangeHands","change_hands.png","换手","[gold]弗雷德利克[/gold]出场时，[gold]共鸣[/gold]。","Power","Uncommon","Pool","RevenantFamilySwitchCards.cs"
"76","StunCall","stun_call.png","震慑","[gold]呼唤[/gold]。
从其他[gold]家人[/gold]切换为[gold]塞巴斯蒂安[/gold]时，[gold]塞巴斯蒂安[/gold]对所有敌人造成{Damage:diff()}点伤害。","Skill","Uncommon","Pool","RevenantFamilySwitchCards.cs"
"77","Relay","relay.png","接力","切换[gold]家人[/gold]后，[gold]共鸣[/gold]。","Power","Rare","Pool","RevenantFamilySwitchCards.cs"
"78","PackUp","pack_up.png","整理行装","[gold]海伦[/gold]离场时，从[gold]抽牌堆[/gold]中选择最多{Cards:diff()}张牌丢弃。","Power","Uncommon","Pool","RevenantFamilySwitchCards.cs"
"79","BurnLife","burn_life.png","燃命","使[gold]家人[/gold]失去所有生命。
获得{Block:diff()}点[gold]格挡[/gold]。
获得{Energy:diff()}点能量。","Skill","Uncommon","Pool","RevenantSoulCards.cs"
"80","SoulChargingClaw","soul_charging_claw.png","蓄魂爪","{ChargeStateText}","Attack","Common","Pool","RevenantSoulCards.cs"
"81","GazeBeyond","gaze_beyond.png","彼岸凝望","给予所有敌人{Vulnerable:diff()}层[gold]易伤[/gold]和{Weak:diff()}层[gold]虚弱[/gold]。
这张牌被[gold]回收[/gold]时自动打出。","Skill","Uncommon","Pool","RevenantSoulCards.cs"
"82","DeadRealmSpiritFire","dead_realm_spirit_fire.png","死界灵火","对所有敌人造成{Damage:diff()}点伤害。
给予所有敌人{Freeze:diff()}层[gold]冻伤[/gold]。","Attack","Uncommon","Pool","RevenantNecroExpansionCards.cs"
"83","IceLightningSpear","ice_lightning_spear.png","冰雷枪","造成{Damage:diff()}点伤害。
给予{CalculatedFreeze:diff()}层[gold]冻伤[/gold]。
若本回合内此牌被[gold]回收[/gold]过，额外给予{BonusFreeze:diff()}层[gold]冻伤[/gold]。","Attack","Uncommon","Pool","RevenantNecroExpansionCards.cs"
"84","NecroDrive","necro_drive.png","死灵驱使","复活1个随机[gold]死灵[/gold]。
这张牌被[gold]回收[/gold]后，直至下次打出前[gold]耗能[/gold]-1。","Skill","Uncommon","Pool","RevenantNecroExpansionCards.cs"
"85","BoneCoin","bone_coin.png","白骨币","丢弃任意张[gold]手牌[/gold]。
[gold]回收[/gold]等同于丢弃[gold]手牌[/gold]数量的牌。","Skill","Uncommon","Pool","RevenantNecroExpansionCards.cs"
"86","Harmony","harmony.png","和音","造成{Damage:diff()}点伤害。
使[gold]手牌[/gold]中1张牌[gold]蓄力完成[/gold]。","Attack","Uncommon","Pool","RevenantNecroExpansionCards.cs"
"87","GhostlyTouch","ghostly_touch.png","幽寒之触","召唤物行动后，给予随机敌人{Freeze:diff()}层[gold]冻伤[/gold]。","Power","Rare","Pool","RevenantNecroExpansionCards.cs"
"88","RevenantFamilyHelenChoice","helen_family.png","海伦","召唤拥有6点生命的[gold]海伦[/gold]。","Skill","Token","FamilyChoice","RevenantStarterCards.cs"
"89","RevenantFamilyPumpkinHeadChoice","pumpkin_head_family.png","弗雷德利克","召唤拥有8点生命的[gold]弗雷德利克[/gold]。","Skill","Token","FamilyChoice","RevenantStarterCards.cs"
"90","RevenantFamilySkeletonChoice","skeleton_family.png","塞巴斯蒂安","召唤拥有10点生命的[gold]塞巴斯蒂安[/gold]。","Skill","Token","FamilyChoice","RevenantStarterCards.cs"
